WellName,X,Y,Z,MD
14-28,321427.0657,4382237.708,-372.7345581,1613.91602
14-28 ST1,321428.3279,4382241.683,-372.473053,1613.91602
16-29,319819.7522,4381751.98,-417.9079895,1681.90161
16-29 ST1,319819.7522,4381751.98,-417.9079895,1681.90161
16-29 ST2,319819.7522,4381751.98,-417.9079895,1681.90161
21-19,318585.0646,4384406.151,-300.2575989,1587.58435
21-19 ST1,318593.3918,4384409.666,-299.9716492,1587.58435
21-28,321527.6201,4382697.633,-494.2850037,1740.10315
21A-19,318541.8873,4384416.334,195.8981781,1053.08398
23-17,319948.9373,4385559.359,-281.1486816,1523.41174
23-17 ST1,319948.9373,4385559.359,-281.1486816,1523.41174
23-17 ST2,319946.2879,4385560.191,-273.4943237,1523.41174
23A-17,319915.91,4385563.429,272.9237976,970.788025
24-29,319870.3654,4382293.9,-254.7400513,1520.40332
27-29,320084.8199,4381946.484,217.8245697,1074.25537
33-23,325026.0542,4383914.973,202.4936523,1069.84802
36-15,323487.3604,4384748.626,265.6271362,1069.2384
36-17,320279.0892,4385055.726,-175.8208466,1432.56006
36-17 ST1,320276.8218,4385056.779,-175.7570953,1432.56006
36A-15,323579.4666,4384960.036,-309.2713928,1537.12769
37-17,320092.6422,4384814.02,-281.3774414,1534.97278
38-21,321747.3086,4382924,-314.7885437,1554.47998
38-21 ST3,321746.8809,4382923.763,-314.797821,1554.47998
44-19,318958.9301,4383894.325,-264.1288452,1525.82886
44-19 ST1,318958.9294,4383894.325,-264.1091919,1525.82886
44-21,321938.3082,4383834.339,-255.3316803,1525.52405
45-9,322507.929,4386416.789,455.1486206,1064.05676
45-27,323358.8115,4382138.838,231.870636,1070.15283
58-29,320677.6675,4381411.232,-688.6609497,1943.09998
77-19,319377.0509,4383318.99,-222.8786774,1474.94849
77A-19,319354.9944,4383335.324,-262.0826416,1528.1178
78-20,320987.2033,4382986.066,-326.6348877,1572.46326
85-19,319632.1464,4383787.214,-337.9418335,1590.1416
85-19 ST1,319633.8432,4383787.101,-329.2997437,1581.54004
88-19,319596.9595,4383035.635,-277.3962402,1549.90796
88-19 ST1,319593.9434,4383039.701,-277.1595154,1549.90796
