WellName,X,Y,Z,MD,MarkerName
14-28,321425.432006836,4382235.76464844,-191.329177856445,1432.48999,TopGraniteNoe_SingleInterp
14-28 ST1,321425.432495117,4382235.7644043,-191.719192504883,1432.88,TopGraniteNoe_SingleInterp
16-29,319819.70993042,4381751.98522949,-418.554901123047,1682.55005,TopGraniteNoe_SingleInterp
16-29 ST2,319819.301651001,4381752.03381348,-424.810241699219,1688.81995,TopGraniteNoe_SingleInterp
21-19,318588.223999023,4384405.65039063,-169.076278686523,1456.35999,TopGraniteNoe_SingleInterp
21-28,321524.083374023,4382693.37719727,-312.802947998047,1558.5,TopGraniteNoe_SingleInterp
21A-19,318550.721435547,4384412.55322266,-164.978759765625,1414.09998,TopGraniteNoe_SingleInterp
23-17,319941.155315399,4385554.23535156,-29.0597953796387,1271.16003,TopGraniteNoe_SingleInterp
23-17 ST1,319941.410312653,4385554.4453125,-37.9637145996094,1280.06995,TopGraniteNoe_SingleInterp
23-17 ST2,319945.709400177,4385557.67382813,-18.6571254730225,1268.52002,TopGraniteNoe_SingleInterp
23A-17,319924.391433716,4385571.39208984,-6.75015211105347,1250.70996,TopGraniteNoe_SingleInterp
24-29,319868.818572998,4382294.70751953,-308.049041748047,1573.76001,TopGraniteNoe_SingleInterp
27-29,320175.704040527,4382110.97241211,-336.807250976563,1659.85999,TopGraniteNoe_SingleInterp
33-23,325040.918945313,4383914.9909668,305.076385498047,966.189026,TopGraniteNoe_SingleInterp
36-15,323425.66015625,4384599.27246094,-85.9168319702148,1456.17004,TopGraniteNoe_SingleInterp
36-17,320279.025238037,4385055.52685547,-54.4439353942871,1311.18005,TopGraniteNoe_SingleInterp
36-17 ST1,320279.059509277,4385055.52148438,-60.7038116455078,1317.43994,TopGraniteNoe_SingleInterp
36A-15,323575.791015625,4384958.02880859,-83.9632949829102,1311.76001,TopGraniteNoe_SingleInterp
37-17,320107.32170105,4384816.20263672,-48.6637535095215,1301.78003,TopGraniteNoe_SingleInterp
37-17 ST1,320101.546440125,4384820.37890625,-41.989501953125,1302.56995,TopGraniteNoe_SingleInterp
38-21,321743.641357422,4382925,-195.619995117188,1435.62,TopGraniteNoe_SingleInterp
44-19,318955.479248047,4383890.81860352,-114.135108947754,1375.75,TopGraniteNoe_SingleInterp
44-21,321949.910766602,4383833.64404297,-79.7312240600586,1349.53003,TopGraniteNoe_SingleInterp
45-9,322999.202880859,4385953.29248047,61.7457389831543,1849.35999,TopGraniteNoe_SingleInterp
45-27,323205.081054688,4382272.06665039,-141.089065551758,1495.09998,TopGraniteNoe_SingleInterp
58-29,320679.532470703,4381411.64929199,-727.834655761719,1982.31995,TopGraniteNoe_SingleInterp
77-19,319375.702636719,4383311.72436523,-409.994293212891,1662.20996,TopGraniteNoe_SingleInterp
77A-19,319355.433898926,4383335.17114258,-251.7744140625,1517.80005,TopGraniteNoe_SingleInterp
78-20,320984.860107422,4382985.97949219,-116.388168334961,1383.95996,TopGraniteNoe_SingleInterp
85-19,319629.814849854,4383787.22021484,-293.84033203125,1545.97998,TopGraniteNoe_SingleInterp
88-19,319600.053314209,4383038.39355469,-489.007720947266,1761.59998,TopGraniteNoe_SingleInterp
88-19 ST1,319557.888458252,4383091.4465332,-511.56298828125,1792.91003,TopGraniteNoe_SingleInterp
